"","X","ID","Name","Elevation","Prominence","Municipality","Latitude","Longitude"
"1",1,1,"Galdhøpiggen",2469,2372,"Lom",61.381," 8.1844"
"2",2,2,"Glittertind",2452,975,"Lom",61.394," 8.3326"
"3",3,3,"Store Skagastølstinden",2405,1010,"Luster / Årdal",61.2741," 7.5217"
"4",4,4,"Store Styggedalstinden, E",2387,155,"Luster",61.2752," 7.545"
"5",5,5,"Skarstind",2377,280,"Lom",61.38," 8.1558"
"6",6,6,"Vesle Galdhøpiggen",2369,150,"Lom",61.3827," 8.1823"
"7",7,7,"Surtningssue",2368,710,"Lom / Vågå",61.323," 8.3420"
"8",8,8,"Store Memurutinden, E",2366,336,"Lom",61.343," 8.2917"
"9",9,9,"Jervvasstind",2351,120,"Luster",61.2752," 7.5435"
"10",10,10,"Sentraltind",2348,115,"Luster",61.2749," 7.5257"
"11",11,11,"Store Hellstugutinden",2346,450,"Lom",61.3239," 8.2541"
"12",12,12,"Storjuvtinden",2344,110,"Lom",61.3749," 8.1737"
"13",13,13,"Store Knutsholstinden",2340,970,"Vågå",61.2528," 8.3345"
"14",14,14,"Vetle Skagastølstind",2340,70,"Luster",61.2752," 7.5227"
"15",15,15,"Midtre Hellstugutinden",2339,158,"Lom",61.335," 8.2527"
"16",16,16,"Leirhøi",2330,290,"Lom",61.3528," 8.281"
"17",17,17,"Tjørnholstind",2329,340,"Vågå",61.2642," 8.3847"
"18",18,18,"Bukkehøe",2314,350,"Lom",61.3615," 8.1557"
"19",19,19,"Store Tverråtinden",2309,190,"Lom",61.3654," 8.185"
"20",20,20,"Tverråtinden, M",2302,70,"Lom",61.3651," 8.1856"
"21",21,21,"Memurutinden, E1",2301,170,"Lom",61.3357," 8.3028"
"22",22,22,"Trollsteinseggi",2300,90,"Lom",61.3937," 8.3329"
"23",23,23,"Leirungstinden, E",2288,270,"Vågå",61.2519," 8.363"
"24",24,24,"Snøhetta",2286,1675,"Dovre",62.1912," 9.166"
"25",25,25,"Galdhøi",2283,90,"Lom",61.3859," 8.197"
"26",26,26,"Memurutinden V-1",2280,80,"Lom",61.3328," 8.2749"
"27",27,27,"Veotinden, S",2267,130,"Lom / Vågå",61.3419," 8.3156"
"28",28,28,"Mesmogtinden",2264,770,"Vågå",61.2414," 8.321"
"30",30,30,"Storgrovhøe",2259,180,"Lom",61.3835," 8.161"
"31",31,31,"Besshø",2258,650,"Vågå",61.314," 8.4113"
